Time,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Temp Hum
2021-10-24-08:46:27.106240,-45.375,84.0,169.0,-68,-4688,15994,1,1,1,1.0108657960639487,7.950765483115891,177.43659787379443,24.836044311523438,41.13006591796875
2021-10-24-08:46:27.634333,-45.875,85.5,171.375,-47,-4702,15967,3,1,0,1.6917735968851326,12.43603165999724,175.28323006371346,24.828033447265625,41.1407470703125
2021-10-24-08:46:28.152659,-47.0,85.125,168.625,-51,-4661,15998,1,1,-2,2.0959864095085314,15.1388783281544,173.24792724675356,24.846725463867188,41.1407470703125
2021-10-24-08:46:28.676996,-46.5,87.75,169.5,-46,-4678,16002,1,0,-1,2.2907846569462267,16.75075556375766,171.1783403860811,24.836044311523438,41.14532470703125
2021-10-24-08:46:29.196700,-44.75,83.0,174.0,-63,-4701,15975,0,0,0,2.008220938166932,17.297687254949118,169.30615316175138,24.828033447265625,41.14532470703125
2021-10-24-08:46:29.717670,-45.0,84.0,168.125,-45,-4694,15977,-1,2,-2,1.796864977608014,17.892963067398085,167.27730566697542,24.849395751953125,41.14227294921875
2021-10-24-08:46:30.237697,-49.5,86.625,168.625,-42,-4675,15988,1,2,0,1.5665268591347397,18.561541574037886,165.14772638683428,24.84405517578125,41.15142822265625
2021-10-24-08:46:30.757403,-43.875,87.75,168.0,-55,-4692,15971,1,1,0,1.2653152486580603,18.788380046597243,162.925283375673,24.828033447265625,41.1224365234375
2021-10-24-08:46:31.279075,-46.0,83.0,169.375,-57,-4692,15996,2,0,1,0.7284926354246013,18.790217564574156,160.84549710268706,24.854736328125,41.15447998046875
2021-10-24-08:46:31.796105,-47.125,85.125,170.875,-62,-4696,15977,1,1,0,0.218566681093261,18.901632272124584,158.67284918871184,24.854736328125,41.143798828125
2021-10-24-08:46:32.317050,-44.25,84.75,170.25,-77,-4673,15980,0,3,-1,-0.3002946430282052,18.86533620514736,156.46886936963804,24.838714599609375,41.14227294921875
2021-10-24-08:46:32.842234,-49.25,86.375,169.0,-59,-4702,15976,1,2,1,-0.8148349517508096,19.1446733075579,154.13214287543767,24.849395751953125,41.14532470703125
2021-10-24-08:46:33.366819,-46.25,87.375,168.25,-66,-4694,15984,2,0,-1,-1.3369265419381697,19.219886030468757,151.72476844363763,24.84405517578125,41.14990234375
2021-10-24-08:46:33.887027,-48.125,86.75,170.375,-55,-4670,15972,1,1,0,-1.9238095515122169,19.226807545178307,149.34636853944258,24.836044311523438,41.1651611328125
2021-10-24-08:46:34.410726,-50.0,84.75,162.5,-47,-4684,15992,1,0,-1,-2.5131529520182476,19.445677917771224,146.83200026748347,24.854736328125,41.1834716796875
2021-10-24-08:46:34.940521,-44.25,85.625,168.375,-68,-4675,15984,2,0,1,-3.1695653611210033,19.13149196007102,144.4363869106258,24.828033447265625,41.192626953125
2021-10-24-08:47:34.441403,-47.125,83.375,169.625,-45,-4664,15990,0,0,-1,0.9745966362997788,8.016833730974328,177.46186266038734,24.793319702148438,41.38031005859375
2021-10-24-08:47:34.963182,-46.5,86.375,170.5,-36,-4668,15991,1,0,-1,1.732548923497045,12.561328980508243,175.25936826999495,24.836044311523438,41.387939453125
2021-10-24-08:47:35.484231,-44.25,84.125,172.0,-39,-4669,15983,2,0,-1,2.0469236385558522,14.897058549713377,173.32231002504193,24.793319702148438,41.39556884765625
2021-10-24-08:47:36.004884,-49.5,85.0,172.125,-52,-4676,15990,0,1,1,2.1118655678160403,16.576436311499076,171.38338920915967,24.820022583007812,41.38641357421875
2021-10-24-08:47:36.527421,-43.25,83.75,169.125,-46,-4677,15989,2,0,0,2.037609140592701,17.321899939487352,169.41525248727947,24.81201171875,41.3909912109375
2021-10-24-08:47:37.047448,-46.5,84.75,171.375,-33,-4662,15995,2,1,-1,1.8273911418677329,17.888799466977922,167.42729506329212,24.838714599609375,41.39556884765625
2021-10-24-08:47:37.565947,-46.875,85.25,170.125,-32,-4664,16003,1,0,-1,1.5549625773066125,18.320542755462036,165.36912684931474,24.820022583007812,41.37420654296875
2021-10-24-08:47:38.088875,-44.5,84.375,167.0,-46,-4671,15986,1,1,1,1.2146398379892902,18.56182288131166,163.24971448066682,24.828033447265625,41.3848876953125
2021-10-24-08:47:38.608218,-47.0,84.875,168.375,-42,-4682,15991,2,1,-1,0.791468124474361,18.801669020150886,161.0930306703833,24.814682006835938,41.3970947265625
2021-10-24-08:47:39.138169,-47.875,86.0,170.0,-44,-4676,15995,0,1,0,0.3314445899983452,18.987258208276227,158.88842166137704,24.820022583007812,41.37725830078125
2021-10-24-08:47:39.670038,-44.375,85.375,168.5,-49,-4671,15985,0,1,0,-0.16569909343911002,18.97044426195962,156.6445693826231,24.82269287109375,41.3787841796875
2021-10-24-08:47:40.206247,-46.125,86.0,169.625,-49,-4671,16003,0,2,0,-0.6929151744246451,19.01695980281664,154.35922905919838,24.82269287109375,41.3787841796875
2021-10-24-08:47:40.726818,-44.875,83.875,172.625,-39,-4669,16008,2,1,-1,-1.3222936919163966,18.80374148483415,152.16436339602117,24.838714599609375,41.38641357421875
2021-10-24-08:47:41.246024,-45.75,85.875,166.875,-38,-4672,15986,2,0,-1,-1.8558901680619042,18.92815487541251,149.75179577439943,24.836044311523438,41.387939453125
2021-10-24-08:47:41.767312,-46.75,84.625,169.625,-39,-4669,15993,2,1,0,-2.4749417648790706,18.893211793974327,147.40699453477293,24.814682006835938,41.387939453125
2021-10-24-08:47:42.288918,-46.75,83.5,169.875,-57,-4672,15995,3,-1,0,-3.125550629620412,18.799794354141515,145.07678606051266,24.820022583007812,41.375732421875
2021-10-24-08:47:45.072595,-45.375,84.625,171.375,-45,-4690,15993,1,2,0,-3.789761951902002,18.620055380132467,142.71906279458693,24.82269287109375,41.3787841796875
2021-10-24-08:47:45.568412,-46.25,85.875,170.625,-44,-4661,15985,3,0,-1,-4.411234398729088,18.53647037733936,140.27870291935463,24.830703735351562,41.3787841796875
2021-10-24-08:47:46.097401,-46.875,85.25,167.875,-30,-4661,15988,0,0,-1,-5.047539655584374,18.47532446254423,137.7870336594477,24.828033447265625,41.36199951171875
2021-10-24-08:47:46.626753,-48.625,87.75,168.5,-40,-4669,15997,0,1,0,-5.688285766197874,18.4722668837703,135.19750038203804,24.836044311523438,41.3848876953125
2021-10-24-08:47:47.147569,-47.75,86.0,172.125,-44,-4689,16001,1,1,1,-6.391597181597856,18.18975124864275,132.7669786727867,24.828033447265625,41.3665771484375
2021-10-24-08:47:47.676322,-46.125,82.5,169.75,-37,-4670,15999,4,1,0,-7.0830909520985035,17.79947436086129,130.43178232933843,24.830703735351562,41.3665771484375
2021-10-24-08:47:48.201293,-46.5,86.5,168.75,-46,-4668,15989,2,0,1,-7.732843683393018,17.5585799207294,127.94186599681058,24.804000854492188,41.33758544921875
2021-10-24-08:47:48.728577,-47.625,85.5,169.5,-44,-4676,16009,0,1,0,-8.396620677502556,17.27881281995389,125.50191605233373,24.838714599609375,41.3604736328125
2021-10-24-08:47:49.250037,-47.5,83.25,170.625,-36,-4680,16011,1,0,0,-9.061331730846897,16.8775346627307,123.18621147775312,24.820022583007812,41.34979248046875
2021-10-24-08:47:49.784380,-44.0,83.375,172.375,-44,-4659,16003,1,1,3,-9.685760967998648,16.279841494484582,121.01625474830068,24.849395751953125,41.33453369140625
2021-10-24-08:47:50.306442,-49.625,84.875,169.25,-50,-4677,16000,0,2,1,-10.30389185720921,16.10380606958038,118.60652261868107,24.84405517578125,41.33453369140625
2021-10-24-08:47:50.841774,-45.875,81.75,170.5,-24,-4670,15990,1,0,0,-10.894976079057713,15.549312999315235,116.47445253300275,24.84405517578125,41.30706787109375
2021-10-24-08:47:52.046689,-46.25,84.0,169.875,-36,-4667,15986,1,1,0,-11.45060031319964,15.092080408572574,114.29237582067202,24.830703735351562,41.3116455078125
2021-10-24-08:47:52.524832,-45.875,84.375,174.0,-47,-4670,15981,1,0,0,-11.981590732052117,14.53993952759677,112.24756449588422,24.838714599609375,41.2994384765625
2021-10-24-08:47:53.053136,-47.75,85.5,168.5,-61,-4685,15995,1,-2,0,-12.49899043051169,14.202363237906482,110.05261003170334,24.862747192382812,41.30096435546875
2021-10-24-08:47:53.577316,-47.375,85.125,171.5,-39,-4662,15997,0,-1,2,-12.966696580382497,13.705343485931003,108.03072982240464,24.830703735351562,41.30859375
2021-10-24-08:47:54.106695,-46.875,86.875,169.25,-51,-4674,15999,2,1,-2,-13.411392164816464,13.220721565840083,106.0053695325264,24.836044311523438,41.2689208984375
2021-10-24-08:47:54.630784,-47.625,86.75,168.5,-60,-4672,15995,-1,3,-1,-13.836010326986502,12.763536918083703,104.02274182366644,24.849395751953125,41.26739501953125
2021-10-24-08:47:55.162896,-41.75,87.625,171.0,-40,-4688,15981,1,0,0,-14.205945585936744,11.944285321257073,102.375309278905,24.838714599609375,41.2567138671875
2021-10-24-08:47:55.688161,-48.0,87.125,165.5,-47,-4676,16000,2,0,1,-14.576024840172954,11.603542734356514,100.43727056119359,24.838714599609375,41.24755859375
2021-10-24-08:47:56.225357,-48.375,83.875,165.0,-23,-4680,16008,0,0,-1,-14.922479877388048,11.190196580195224,98.63268816594265,24.854736328125,41.2261962890625
2021-10-24-08:47:56.746816,-46.0,84.125,171.875,-35,-4681,15994,3,1,-1,-15.201971787729612,10.545673227967104,97.13386637685527,24.838714599609375,41.2109375
2021-10-24-08:47:57.265788,-46.375,87.625,170.0,-37,-4682,15993,0,1,-1,-15.463177764438935,9.99491073182951,95.60065544807195,24.854736328125,41.22467041015625
2021-10-24-08:47:57.793782,-47.125,86.0,172.125,-26,-4659,16001,0,0,-2,-15.682058707429858,9.472502703898748,94.161168151715,24.84405517578125,41.204833984375
2021-10-24-08:47:58.316750,-46.75,84.5,169.375,-37,-4659,15993,1,0,1,-15.880503478302415,8.998463386454295,92.77837776025056,24.854736328125,41.2078857421875
2021-10-24-08:47:58.835316,-47.625,88.375,170.0,-24,-4652,15994,0,0,0,-16.05346494070966,8.53713717927229,91.41095229201798,24.82269287109375,41.21856689453125
2021-10-24-08:47:59.354829,-45.25,85.0,172.25,-34,-4677,16003,1,-1,0,-16.19811000850189,7.97672591186158,90.2703809277574,24.854736328125,41.20025634765625
2021-10-24-08:48:00.579975,-43.5,84.125,170.625,-29,-4671,16009,1,1,1,-16.308752431147077,7.419406623749408,89.23065657296685,24.838714599609375,41.19720458984375
2021-10-24-08:48:01.061631,-45.375,86.5,174.125,-40,-4687,15992,2,0,0,-16.429362915637366,6.979900388341518,88.18056299003084,24.846725463867188,41.1956787109375
2021-10-24-08:48:01.597866,-44.125,86.25,171.375,-38,-4682,15996,1,2,0,-16.522125737414537,6.541606686726389,87.20225712408184,24.849395751953125,41.1834716796875
2021-10-24-08:48:02.129755,-47.125,84.0,167.5,-35,-4658,15995,0,-1,0,-16.627522214796336,6.314312191058646,86.09985971665112,24.830703735351562,41.1865234375
2021-10-24-08:48:02.659151,-46.75,85.0,170.875,-49,-4666,15994,0,0,-1,-16.701920468904213,6.000429208853964,85.13690103334251,24.828033447265625,41.19720458984375
2021-10-24-08:48:03.180209,-48.75,86.625,170.875,-36,-4679,15997,-1,0,-1,-16.788777565937092,5.746152558365423,84.14802528642895,24.857406616210938,41.20025634765625
2021-10-24-08:48:03.698402,-48.375,82.5,171.25,-40,-4665,16011,2,0,-1,-16.841377975514764,5.487687208083666,83.25029145804156,24.830703735351562,41.18499755859375
2021-10-24-08:48:04.221131,-43.875,84.875,170.125,-34,-4668,15999,1,-1,0,-16.831820894683432,5.002527599650688,82.60211970254213,24.836044311523438,41.18804931640625
2021-10-24-08:48:04.744655,-46.5,85.875,165.125,-57,-4668,15988,0,0,-1,-16.86860019690214,4.762376285118702,81.7968919145325,24.84405517578125,41.18499755859375
2021-10-24-08:48:05.269937,-43.125,84.625,168.875,-57,-4661,15991,-1,1,0,-16.846365552437476,4.35400325994321,81.23672090229384,24.86541748046875,41.192626953125
